id_cliente;cliente;provincia;segmento;antiguedad_meses;pedidos_previos;ticket_medio_historico;incidencias_previas;canal_alta
10001;Cliente 001;Barcelona;Particular;70;8;70,15;0;Comercial
10002;Cliente 002;Alicante;Pyme;58;17;160,36;0;Tienda
10003;Cliente 003;Bilbao;Particular;64;13;34,31;0;Tienda
10004;Cliente 004;Alicante;Particular;31;16;156,18;1;Tienda
10005;Cliente 005;Málaga;Pyme;72;5;148,36;2;Web
10006;Cliente 006;Barcelona;Pyme;23;18;176,82;1;Web
10007;Cliente 007;Bilbao;Pyme;47;14;140,29;0;Tienda
10008;Cliente 008;Zaragoza;Particular;24;21;58,98;1;Web
10009;Cliente 009;Málaga;Particular;61;11;188,72;0;Tienda
10010;Cliente 010;Sevilla;Empresa;17;15;95,17;0;Tienda
10011;Cliente 011;Valencia;Pyme;43;23;63,68;0;Comercial
10012;Cliente 012;Barcelona;Particular;63;1;72,23;1;Web
10013;Cliente 013;Sevilla;Particular;72;21;131,68;1;Web
10014;Cliente 014;Alicante;Particular;26;15;18;1;Tienda
10015;Cliente 015;Zaragoza;Pyme;58;16;86,88;0;Tienda
10016;Cliente 016;Valencia;Pyme;11;10;187,9;1;Tienda
10017;Cliente 017;Bilbao;Pyme;23;16;173,65;1;Web
10018;Cliente 018;Madrid;Pyme;23;17;143,54;0;Web
10019;Cliente 019;Zaragoza;Empresa;30;19;148,32;0;Comercial
10020;Cliente 020;Madrid;Particular;39;15;18;1;Tienda
10021;Cliente 021;Alicante;Particular;2;0;139,14;0;Tienda
10022;Cliente 022;Alicante;Particular;2;8;93,74;0;Tienda
10023;Cliente 023;Sevilla;Particular;25;0;112,99;0;Web
10024;Cliente 024;Madrid;Particular;35;10;18;0;Comercial
10025;Cliente 025;Barcelona;Empresa;45;11;147,75;1;Tienda
10026;Cliente 026;Sevilla;Particular;67;13;101,61;0;Tienda
10027;Cliente 027;Málaga;Pyme;14;12;146,02;0;Tienda
10028;Cliente 028;Málaga;Particular;72;4;43,21;0;Web
10029;Cliente 029;Alicante;Particular;38;10;42,05;0;Tienda
10030;Cliente 030;Bilbao;Pyme;2;7;161,2;0;Web
10031;Cliente 031;Valencia;Particular;5;29;141,71;2;Tienda
10032;Cliente 032;Málaga;Pyme;18;11;77,16;0;Comercial
10033;Cliente 033;Valencia;Particular;5;0;149,24;1;Web
10034;Cliente 034;Barcelona;Pyme;29;20;162,42;1;Tienda
10035;Cliente 035;Alicante;Empresa;59;15;183,12;0;Tienda
10036;Cliente 036;Alicante;Empresa;33;20;148,87;1;Web
10037;Cliente 037;Málaga;Particular;71;10;81,96;0;Web
10038;Cliente 038;Sevilla;Pyme;72;11;112,2;0;Comercial
10039;Cliente 039;Madrid;Pyme;14;0;170,92;1;Tienda
10040;Cliente 040;Barcelona;Particular;25;1;33,02;1;Web
10041;Cliente 041;Alicante;Pyme;54;7;157,22;0;Web
10042;Cliente 042;Málaga;Particular;70;7;125,22;0;Web
10043;Cliente 043;Málaga;Particular;72;16;105,81;1;Comercial
10044;Cliente 044;Alicante;Particular;17;7;62,12;1;Tienda
10045;Cliente 045;Málaga;Particular;49;12;134,58;0;Comercial
10046;Cliente 046;Bilbao;Particular;22;16;51,26;1;Comercial
10047;Cliente 047;Alicante;Particular;43;5;18;0;Tienda
10048;Cliente 048;Bilbao;Particular;22;1;18;0;Web
10049;Cliente 049;Alicante;Particular;71;3;18;0;Tienda
10050;Cliente 050;Zaragoza;Pyme;43;13;145,45;0;Tienda
10051;Cliente 051;Valencia;Pyme;64;13;133,17;0;Comercial
10052;Cliente 052;Bilbao;Empresa;34;17;165,86;1;Comercial
10053;Cliente 053;Zaragoza;Particular;47;10;47,76;0;Tienda
10054;Cliente 054;Málaga;Particular;58;0;46,72;0;Tienda
10055;Cliente 055;Sevilla;Pyme;13;22;158,4;2;Comercial
10056;Cliente 056;Zaragoza;Particular;61;4;54,06;0;Comercial
10057;Cliente 057;Madrid;Pyme;19;26;156,89;0;Tienda
10058;Cliente 058;Sevilla;Particular;34;9;111,72;0;Web
10059;Cliente 059;Madrid;Particular;17;10;64,46;0;Tienda
10060;Cliente 060;Bilbao;Particular;70;0;21,21;1;Tienda
10061;Cliente 061;Valencia;Pyme;6;12;179,54;0;Tienda
