id_pedido;fecha_pedido;id_cliente;id_producto;unidades;canal;transportista;prioridad;distancia_km;dias_prometidos;stock_al_pedido;coste_envio;importe_pedido;fecha_entrega_prevista;fecha_entrega_real;entrega_tarde
50001;23/08/2025;10086;20047;3;Tienda;Rapidex;Alta;391;2;11;9,9;847,23;25/08/2025;29/08/2025;1
50002;19/06/2026;10240;20058;2;App;Rapidex;Normal;405;5;20;12,42;215,38;24/06/2026;25/06/2026;1
50003;20/05/2026;10148;20067;1;Web;Rapidex;Normal;528;3;38;10,35;364,61;23/05/2026;25/05/2026;1
50004;05/07/2025;10156;20050;3;Web;Transnova;Normal;348;1;33;10,57;988,02;06/07/2025;10/07/2025;1
50005;06/05/2026;10232;20063;1;App;Rapidex;Normal;5;4;14;3,85;236,55;10/05/2026;10/05/2026;0
50006;05/01/2025;10250;20032;4;App;Transnova;Normal;5;5;18;5,06;581,48;10/01/2025;11/01/2025;1
50007;22/06/2026;10097;20058;2;Tienda;Gopack;Normal;464;1;1;11,22;215,38;23/06/2026;26/06/2026;1
50008;23/06/2025;10092;20069;5;App;Gopack;Normal;391;2;8;9,84;1480,45;25/06/2025;01/07/2025;1
50009;25/01/2026;10251;20027;2;Web;Gopack;Normal;612;1;12;12,62;228,04;26/01/2026;28/01/2026;1
50010;22/09/2025;10080;20073;4;Web;Blueship;Normal;544;1;16;15,86;1493,8;23/09/2025;24/09/2025;1
50011;03/05/2025;10065;20019;3;App;Rapidex;Alta;75;1;10;5,78;1026,39;04/05/2025;10/05/2025;1
50012;28/08/2025;10081;20022;1;Tienda;Rapidex;Alta;674;4;18;11,66;139,63;01/09/2025;01/09/2025;0
50013;03/03/2026;10133;20029;5;App;Transnova;Normal;415;5;10;16,11;223,75;08/03/2026;11/03/2026;1
50014;28/11/2025;10168;20064;3;Tienda;Gopack;Alta;180;1;0;7,66;1179,42;29/11/2025;04/12/2025;1
50015;16/01/2025;10211;20069;1;Web;Rapidex;Normal;294;2;17;3,68;296,09;18/01/2025;18/01/2025;0
50016;10/09/2025;10014;20038;3;Web;Rapidex;Alta;130;5;10;8,06;391,32;15/09/2025;17/09/2025;1
50017;25/12/2025;10089;20003;1;Web;Gopack;Normal;620;3;8;11,29;255,42;28/12/2025;28/12/2025;0
50018;23/04/2026;10258;20038;2;Tienda;Transnova;Normal;544;2;31;12,64;260,88;25/04/2026;25/04/2026;0
50019;26/05/2025;10189;20031;2;Tienda;Gopack;Normal;198;1;13;7,33;68,24;27/05/2025;27/05/2025;0
50020;25/05/2025;10063;20022;3;Web;Gopack;Normal;499;5;15;12,09;418,89;30/05/2025;04/06/2025;1
50021;03/06/2025;10104;20031;2;Tienda;Transnova;Normal;94;1;7;8,33;68,24;04/06/2025;06/06/2025;1
50022;13/02/2025;10147;20021;5;Tienda;Blueship;Alta;492;1;12;12,5;720,75;14/02/2025;14/02/2025;0
50023;04/04/2026;10184;20060;1;App;Transnova;Normal;226;5;19;3,51;149,55;09/04/2026;09/04/2026;0
50024;25/02/2025;10231;20017;2;App;Transnova;Normal;439;4;6;8,7;90,52;01/03/2025;01/03/2025;0
50025;29/04/2025;10176;20048;1;App;Blueship;Normal;412;2;0;10,44;239,74;01/05/2025;01/05/2025;0
50026;09/02/2025;10175;20071;3;Web;Gopack;Normal;230;4;23;6,35;881,43;13/02/2025;13/02/2025;0
50027;15/03/2026;10241;20012;4;Web;Transnova;Normal;515;5;37;13,44;110,72;20/03/2026;25/03/2026;1
50028;07/02/2026;10153;20066;1;App;Blueship;Normal;733;2;20;14,06;315,99;09/02/2026;10/02/2026;1
50029;24/01/2025;10185;20003;5;App;Gopack;Normal;547;1;30;16,21;1277,1;25/01/2025;29/01/2025;1
50030;03/06/2026;10084;20017;4;Tienda;Rapidex;Normal;494;2;35;13,48;181,04;05/06/2026;10/06/2026;1
50031;01/06/2026;10203;20045;4;Web;Rapidex;Normal;486;2;0;12,36;1139,44;03/06/2026;08/06/2026;1
50032;31/07/2025;10091;20022;2;Web;Rapidex;Alta;403;4;22;10,37;279,26;04/08/2025;07/08/2025;1
50033;23/05/2026;10087;20069;3;App;Blueship;Normal;658;2;11;14,79;888,27;25/05/2026;25/05/2026;0
50034;19/02/2025;10233;20039;3;Tienda;Blueship;Alta;690;2;13;14,13;295,5;21/02/2025;22/02/2025;1
50035;19/08/2025;10029;20015;5;App;Blueship;Normal;386;3;16;12,43;836,95;22/08/2025;25/08/2025;1
50036;15/04/2025;10179;20035;3;Web;Gopack;Normal;641;4;13;12,02;634,41;19/04/2025;21/04/2025;1
50037;15/02/2025;10126;20047;1;Tienda;Rapidex;Normal;151;2;32;7,76;282,41;08/02/2025;08/02/2025;0
50038;21/08/2025;10254;20054;5;App;Transnova;Alta;824;3;22;18,63;447,8;24/08/2025;25/08/2025;1
50039;24/01/2025;10165;20069;2;Web;Transnova;Alta;387;5;6;9,24;592,18;29/01/2025;29/01/2025;0
50040;16/03/2025;10165;20034;4;Tienda;Rapidex;Normal;350;2;21;12,44;1027,28;18/03/2025;18/03/2025;0
50041;07/07/2025;10174;20063;3;Tienda;Blueship;Normal;256;2;2;10,03;709,65;09/07/2025;10/07/2025;1
50042;03/07/2026;10013;20028;4;Tienda;Transnova;Normal;356;3;7;11,41;290,4;06/07/2026;06/07/2026;0
