id_producto;producto;categoria;precio_unitario;peso_kg;fragil;margen_pct
20001;Producto 01;Oficina;206,16;12,65;No;43%
20002;Producto 02;Oficina;100,46;2,34;No;23%
20003;Producto 03;Electrónica;255,42;10,5;Si;16%
20004;Producto 04;Electrónica;373,92;17,04;No;39%
20005;Producto 05;Moda;194,6;14,41;No;38%
20006;Producto 06;Deporte;48,66;15,81;Si;15%
20007;Producto 07;Deporte;121,97;6,74;No;19%
20008;Producto 08;Hogar;235,46;1,08;No;20%
20009;Producto 09;Deporte;394,03;11,89;Si;29%
20010;Producto 10;Hogar;181,15;8,45;Si;43%
20011;Producto 11;Hogar;331,2;6,19;No;14%
20012;Producto 12;Oficina;27,68;8,75;Si;22%
20013;Producto 13;Moda;57,69;7,52;No;44%
20014;Producto 14;Oficina;406,94;3,31;Si;23%
20015;Producto 15;Electrónica;167,39;1,21;Si;13%
20016;Producto 16;Moda;11,51;14,13;Si;8%
20017;Producto 17;Moda;45,26;8,04;Si;38%
20018;Producto 18;Hogar;142,68;9,05;No;16%
20019;Producto 19;Hogar;342,13;5,01;Si;31%
20020;Producto 20;Electrónica;274,51;9,04;Si;20%
20021;Producto 21;Deporte;144,15;4,11;Si;23%
20022;Producto 22;Moda;139,63;12,8;Si;17%
20023;Producto 23;Moda;316,5;11,66;Si;11%
20024;Producto 24;Deporte;207,5;7,1;Si;9%
20025;Producto 25;Oficina;321,99;13,42;Si;33%
20026;Producto 26;Electrónica;57,81;3,29;No;27%
20027;Producto 27;Oficina;114,02;16,4;Si;38%
20028;Producto 28;Oficina;72,6;13,1;Si;33%
20029;Producto 29;Oficina;44,75;11,36;No;43%
20030;Producto 30;Deporte;302,44;13,14;Si;23%
20031;Producto 31;Electrónica;34,12;2,28;No;44%
20032;Producto 32;Oficina;145,37;14,67;Si;25%
20033;Producto 33;Moda;161,21;15,64;No;37%
20034;Producto 34;Moda;256,82;10,12;No;13%
20035;Producto 35;Oficina;211,47;8,06;Si;39%
20036;Producto 36;Electrónica;248,2;14,56;Si;40%
20037;Producto 37;Electrónica;411,77;9,94;No;19%
20038;Producto 38;Electrónica;130,44;10,18;Si;17%
20039;Producto 39;Hogar;98,5;14,11;No;41%
20040;Producto 40;Deporte;204,77;6,5;No;29%
20041;Producto 41;Hogar;62,17;7,06;No;38%
20042;Producto 42;Hogar;188,41;16,95;No;45%
20043;Producto 43;Electrónica;65,51;14,58;No;10%
20044;Producto 44;Deporte;88,02;12,11;No;40%
20045;Producto 45;Deporte;284,86;3,01;Si;30%
20046;Producto 46;Oficina;138,01;8,97;No;29%
20047;Producto 47;Deporte;282,41;10,89;Si;25%
20048;Producto 48;Moda;239,74;8,43;Si;35%
20049;Producto 49;Moda;133,22;10,99;No;35%
20050;Producto 50;Hogar;329,34;2,45;Si;29%
20051;Producto 51;Oficina;328,73;3,69;No;22%
20052;Producto 52;Oficina;65,86;10,5;Si;18%
20053;Producto 53;Hogar;362,93;13,67;Si;20%
20054;Producto 54;Moda;89,56;0,59;Si;43%
20055;Producto 55;Electrónica;384,25;9,41;No;22%
20056;Producto 56;Deporte;91,97;8,83;No;39%
20057;Producto 57;Electrónica;232,41;0,4;No;31%
20058;Producto 58;Deporte;107,69;0,12;Si;30%
20059;Producto 59;Electrónica;232,7;10,25;No;40%
20060;Producto 60;Hogar;149,55;13,49;No;21%
20061;Producto 61;Hogar;306,84;0,6;Si;27%
20062;Producto 62;Deporte;143,19;10,18;Si;17%
20063;Producto 63;Deporte;236,55;16,43;No;36%
20064;Producto 64;Hogar;393,14;12,27;No;12%
20065;Producto 65;Electrónica;145,62;3,14;No;15%
20066;Producto 66;Moda;315,99;10,12;No;30%
20067;Producto 67;Moda;364,61;5,36;Si;40%
20068;Producto 68;Deporte;129,39;3,81;No;40%
20069;Producto 69;Deporte;296,09;5,52;Si;37%
20070;Producto 70;Hogar;342,18;10,77;No;22%
20071;Producto 71;Oficina;293,81;10,9;No;12%
20072;Producto 72;Moda;263,43;6,19;Si;39%
20073;Producto 73;Oficina;373,45;6,12;No;22%
20074;Producto 74;Hogar;262,74;9,79;No;44%
20075;Producto 75;Hogar;185,34;16,97;Si;42%
